,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported,insured_zip_class
19,39,IN,500/1000,2000,1475.73,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,Unknown,2,0,NO,6040,6040,48320,Nissan,2014,N,47
20,62,IN,250/500,1000,1187.96,MALE,JD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,Unknown,0,5240,41920,Suburu,2011,N,61
21,41,IL,500/1000,2000,875.15,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,Unknown,1,2,Unknown,0,4730,33110,Accura,1996,N,44
22,55,IL,100/300,2000,972.18,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,17880,5960,47680,Suburu,2000,Y,44
23,55,IN,100/300,2000,1268.79,MALE,MD,priv-house-serv,chess,own-child,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,Unknown,2,2,Unknown,8180,16360,73620,Dodge,2011,Y,45
24,40,IN,100/300,1000,883.31,MALE,College,craft-repair,kayaking,husband,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,7080,14160,56640,Ford,2005,N,43
25,35,OH,100/300,2000,1266.92,MALE,Masters,sales,polo,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,16500,11000,44000,Ford,2006,Y,61
26,43,IN,100/300,2000,1322.1,MALE,High School,prof-specialty,golf,own-child,0,-29200,Parked Car,No Collision,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,YES,1,3,YES,1640,820,6560,Toyota,2005,N,43
27,34,IN,100/300,500,848.07,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,Vehicle Theft,No Collision,Minor Damage,,VA,Northbrook,3790 Andromedia Hwy,5,1,YES,2,1,Unknown,1040,520,4160,Suburu,2003,Y,60
28,40,OH,100/300,2000,1291.7,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,7760,15520,46560,Dodge,2009,N,60
29,45,IL,500/1000,2000,1104.5,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,14100,14100,63450,Accura,2011,N,43
30,25,IL,250/500,1000,954.16,MALE,Masters,prof-specialty,video-games,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,Unknown,12600,12600,50400,Toyota,2005,N,47
31,37,IL,100/300,2000,1337.28,MALE,JD,craft-repair,reading,husband,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,NO,2,2,Unknown,7460,7460,52220,Ford,2006,Y,61
32,35,IL,500/1000,1000,1088.34,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,3310,3310,23170,BMW,2008,N,61
33,30,IL,100/300,1000,1558.29,MALE,High School,farming-fishing,video-games,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,Unknown,14020,14020,49070,Suburu,2015,N,47
34,37,IL,500/1000,500,1415.68,MALE,PhD,prof-specialty,yachting,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,10800,5400,48600,Audi,1999,N,60
35,33,OH,100/300,1000,1334.15,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,10620,5310,37170,Mercedes,1995,Y,47
36,28,IL,100/300,1000,988.45,FEMALE,Masters,protective-serv,camping,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,Unknown,1,1,YES,6020,6020,48160,Suburu,2004,Y,43
37,49,IL,500/1000,2000,1222.48,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,Parked Car,No Collision,Minor Damage,,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,1230,820,3280,Suburu,2001,N,62
38,54,IN,500/1000,2000,1155.55,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,Unknown,2,0,Unknown,12460,6230,43610,Jeep,2007,N,61
39,37,IN,250/500,500,1262.08,MALE,JD,tech-support,video-games,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,Unknown,0,3,NO,10940,10940,38290,Nissan,2011,Y,47
40,26,IL,100/300,500,1451.62,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,Unknown,8000,4000,28000,BMW,2010,N,45
41,34,IN,250/500,500,1737.66,MALE,Associate,transport-moving,chess,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,Unknown,1,1,Unknown,16180,16180,64720,BMW,2001,Y,47
42,23,IL,500/1000,500,1475.93,FEMALE,College,prof-specialty,hiking,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,5740,5740,40180,Dodge,2010,N,44
43,30,OH,250/500,500,538.17,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,5680,5680,39760,Mercedes,2005,N,43
44,44,IL,100/300,2000,1081.08,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,Unknown,11280,11280,33840,Toyota,2014,N,46
45,40,IL,250/500,1000,1454.43,FEMALE,MD,protective-serv,yachting,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,Unknown,6890,0,48230,Accura,2002,N,45
46,33,IN,100/300,500,1240.47,FEMALE,Associate,other-service,polo,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,Unknown,0,14020,63090,Honda,2014,N,47
47,47,OH,500/1000,2000,1273.7,MALE,College,other-service,kayaking,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,6280,6280,50240,Audi,2003,Y,43
48,34,IN,500/1000,1000,1123.87,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,Vehicle Theft,No Collision,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,Unknown,2,0,YES,810,810,5670,Volkswagen,1995,N,44
49,35,IL,100/300,1000,1245.89,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,Unknown,15320,7660,53620,Mercedes,2000,N,43
50,59,OH,250/500,2000,1326.62,MALE,MD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,Unknown,0,3,YES,16360,8180,57260,Nissan,1998,N,47
51,27,IL,100/300,2000,1073.83,FEMALE,JD,farming-fishing,polo,husband,0,0,Vehicle Theft,No Collision,Trivial Damage,,NY,Arlington,2280 4th Ave,4,1,Unknown,1,2,Unknown,1320,660,5280,BMW,2008,N,60
52,39,IN,100/300,1000,1530.52,MALE,College,armed-forces,basketball,not-in-family,0,0,Vehicle Theft,No Collision,Minor Damage,,WV,Northbend,2644 Elm Drive,8,1,Unknown,2,1,YES,430,430,3440,Toyota,2000,N,60
53,40,IN,100/300,500,1201.41,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,YES,1,0,Unknown,12820,12820,44870,Suburu,1999,N,43
54,39,OH,250/500,1000,1393.57,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,Parked Car,No Collision,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,NO,0,1,YES,480,480,1680,Ford,2009,N,47
55,26,OH,100/300,1000,1276.57,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,YES,1,2,NO,15780,7890,55230,Chevrolet,1995,N,46
56,56,IN,250/500,500,1082.49,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,Unknown,2,3,Unknown,0,6270,50160,Honda,2014,N,60
57,32,IN,500/1000,1000,1414.74,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,Parked Car,No Collision,Minor Damage,,VA,Riverwood,5418 Britain Ave,19,1,NO,1,3,NO,300,300,1800,Chevrolet,2014,N,46
58,39,IL,250/500,2000,1470.06,MALE,PhD,other-service,yachting,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,1,NO,7310,7310,51170,Saab,2007,N,43
59,36,OH,250/500,2000,870.63,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,NO,1,1,NO,11440,5720,45760,Ford,2000,N,43
60,34,IN,100/300,500,795.23,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,1,Unknown,15440,0,54040,Nissan,2014,Y,60
61,44,IL,500/1000,1000,1168.2,MALE,JD,handlers-cleaners,basketball,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,NO,0,3,NO,7380,3690,33210,Honda,1997,N,45
62,32,IL,500/1000,1000,993.51,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,5630,11260,39410,BMW,2011,N,46
63,42,OH,500/1000,500,1848.81,MALE,JD,transport-moving,video-games,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,YES,2,2,YES,11420,5710,51390,Suburu,2003,Y,43
64,42,OH,250/500,2000,1641.73,MALE,PhD,sales,chess,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,3,NO,0,0,NO,6570,6570,45990,Ford,2006,Y,45
65,39,IN,100/300,500,1362.87,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,YES,2,2,NO,13720,6860,61740,Dodge,1995,Y,45
66,31,IN,250/500,500,1239.22,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,1,YES,0,1,NO,13800,13800,62100,Audi,2009,Y,47
67,64,OH,250/500,500,835.02,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,1,NO,0,3770,30160,BMW,1998,N,60
68,30,OH,100/300,1000,1061.33,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,NO,0,3,NO,12460,6230,49840,Audi,1997,N,47
69,49,IN,500/1000,1000,1279.08,MALE,MD,other-service,kayaking,own-child,0,-51500,Parked Car,No Collision,Minor Damage,,NC,Riverwood,7721 Washington Ridge,13,1,NO,0,1,Unknown,860,860,2580,Ford,2004,N,44
70,42,OH,100/300,500,1105.49,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,8006 Maple Hwy,12,2,Unknown,2,3,Unknown,12420,6210,49680,Audi,2003,Y,46
71,41,OH,100/300,2000,1055.53,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,6751 Pine Ridge,7,1,NO,0,2,NO,6810,6810,47670,Honda,1995,Y,44
72,41,OH,250/500,1000,895.83,FEMALE,Associate,sales,paintball,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,2324 Texas Ridge,10,1,NO,1,2,NO,3010,0,27090,Chevrolet,1999,N,45
73,37,IN,100/300,500,1632.93,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7923 Elm Ave,7,3,NO,2,0,YES,9520,4760,42840,Mercedes,2002,N,61
74,40,IL,100/300,1000,1405.99,FEMALE,Associate,sales,yachting,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,4755 Best Lane,18,3,YES,1,0,YES,9540,4770,28620,BMW,2005,N,47
75,35,OH,100/300,1000,1425.54,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,22,3,NO,2,0,NO,11380,5690,34140,Ford,2010,N,47
76,45,OH,500/1000,1000,1038.09,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,3,NO,1,1,YES,14900,7450,67050,Suburu,1998,N,47
77,47,IN,250/500,500,1307.11,MALE,College,transport-moving,dancing,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,2804 Best St,22,3,NO,0,2,Unknown,10860,10860,38010,Audi,2005,N,60
78,39,OH,500/1000,1000,1489.24,FEMALE,JD,other-service,kayaking,wife,0,-45000,Vehicle Theft,No Collision,Minor Damage,,SC,Springfield,7877 Sky Lane,15,1,YES,2,2,YES,1240,1240,5580,Saab,2004,N,60
79,38,OH,500/1000,500,976.67,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,6530 Weaver Ave,16,1,Unknown,1,2,Unknown,14440,7220,50540,BMW,2013,Y,47
80,31,OH,250/500,2000,1340.43,MALE,High School,exec-managerial,paintball,husband,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,3087 Oak Hwy,6,3,NO,1,2,NO,10160,10160,30480,Accura,2005,N,44
81,40,OH,500/1000,2000,1267.81,FEMALE,Masters,exec-managerial,video-games,wife,0,0,Vehicle Theft,No Collision,Trivial Damage,,NC,Northbrook,7098 Lincoln Hwy,10,1,Unknown,2,1,Unknown,660,1320,4620,Accura,2005,N,60
82,29,IL,250/500,1000,1234.2,MALE,Masters,other-service,bungie-jumping,other-relative,0,0,Vehicle Theft,No Collision,Minor Damage,Police,NY,Northbrook,5124 Maple St,3,1,YES,2,2,NO,750,1500,5250,Nissan,2002,N,45
83,35,IN,250/500,2000,1318.06,MALE,High School,exec-managerial,video-games,wife,57300,-80600,Vehicle Theft,No Collision,Trivial Damage,,VA,Hillsdale,2333 Maple Lane,13,1,NO,0,3,YES,1180,1180,4130,Volkswagen,2002,N,61
84,48,IN,500/1000,2000,769.95,MALE,Masters,prof-specialty,movies,not-in-family,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,1012 5th Lane,16,2,Unknown,2,3,NO,5540,11080,44320,Audi,2013,Y,60
85,41,OH,100/300,2000,1514.72,MALE,High School,transport-moving,board-games,own-child,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,7477 MLK Drive,13,3,YES,0,1,Unknown,5830,11660,40810,Suburu,2007,N,61
86,34,IL,500/1000,1000,873.64,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9489 3rd St,9,3,NO,2,1,Unknown,11400,11400,45600,Ford,2007,N,43
87,32,IL,500/1000,500,1612.43,FEMALE,MD,other-service,yachting,own-child,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2087 Apache Ave,2,1,Unknown,2,1,YES,11680,11680,40880,BMW,2015,N,45
88,36,IL,500/1000,2000,1318.24,FEMALE,College,prof-specialty,kayaking,not-in-family,0,-78600,Parked Car,No Collision,Trivial Damage,,WV,Arlington,5540 Sky St,9,1,NO,0,1,YES,940,470,3290,Dodge,2002,N,60
89,25,IN,100/300,1000,1226.83,FEMALE,College,exec-managerial,exercise,not-in-family,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,7238 2nd St,12,3,YES,2,0,Unknown,0,5640,39480,Accura,2011,Y,60
90,29,OH,250/500,2000,1326.44,FEMALE,High School,sales,board-games,own-child,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,8442 Britain Hwy,12,2,YES,1,1,Unknown,10300,10300,46350,Saab,1995,N,43
91,23,IL,250/500,2000,1136.83,FEMALE,Associate,tech-support,exercise,own-child,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,1331 Britain Hwy,14,1,NO,0,3,Unknown,8940,17880,71520,Honda,2004,Y,47
92,42,IL,250/500,2000,1322.78,MALE,PhD,farming-fishing,yachting,own-child,55200,0,Parked Car,No Collision,Trivial Damage,,WV,Springfield,5260 Francis Drive,9,1,NO,0,1,NO,590,590,4720,BMW,2007,N,45
93,43,IN,100/300,1000,1483.25,FEMALE,MD,exec-managerial,exercise,not-in-family,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,1135 Solo Lane,3,3,NO,1,1,Unknown,5890,11780,53010,Ford,2009,N,46
94,42,IL,100/300,500,1515.3,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9737 Solo Hwy,21,3,NO,1,0,NO,17040,8520,68160,Mercedes,2005,N,60
95,25,IL,100/300,2000,1075.18,FEMALE,PhD,armed-forces,exercise,husband,67700,-58400,Vehicle Theft,No Collision,Minor Damage,,OH,Northbrook,3289 Britain Drive,5,1,NO,2,0,YES,1260,630,5040,Toyota,2001,N,60
96,47,IN,500/1000,1000,1690.27,FEMALE,Associate,protective-serv,hiking,not-in-family,61500,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,6550 Andromedia St,11,1,YES,0,3,NO,6630,6630,59670,Dodge,2006,Y,43
97,25,IL,250/500,2000,1352.83,MALE,Masters,farming-fishing,skydiving,own-child,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,1679 2nd Hwy,4,4,YES,1,2,YES,7210,7210,50470,Nissan,2013,Y,46
98,48,OH,250/500,1000,1148.73,FEMALE,College,machine-op-inspct,kayaking,wife,0,0,Parked Car,No Collision,Trivial Damage,,WV,Columbus,3998 Flute St,6,1,Unknown,1,2,YES,900,900,3600,Saab,1999,N,43
99,42,IL,100/300,1000,969.5,MALE,College,exec-managerial,reading,not-in-family,0,0,Vehicle Theft,No Collision,Trivial Damage,,NC,Northbrook,2430 MLK Ave,10,1,NO,0,0,Unknown,700,700,4200,Audi,2007,N,46
100,41,IN,100/300,500,1463.82,FEMALE,College,protective-serv,yachting,not-in-family,0,-72300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,7717 Britain Hwy,23,1,YES,0,0,Unknown,15860,15860,47580,Saab,2007,N,44
101,27,IL,100/300,1000,1474.17,FEMALE,College,tech-support,exercise,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,7773 Tree Hwy,13,1,YES,1,0,YES,10560,5280,36960,Saab,2004,N,44
102,41,IL,250/500,500,1497.35,FEMALE,JD,prof-specialty,bungie-jumping,husband,37300,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,2199 Texas Drive,16,3,Unknown,2,3,NO,0,3600,25200,Ford,2013,N,46
103,33,OH,100/300,1000,1427.14,FEMALE,Associate,tech-support,kayaking,other-relative,35300,-58100,Parked Car,No Collision,Minor Damage,Police,WV,Northbend,1028 Sky Lane,3,1,NO,1,1,NO,330,330,2310,Toyota,2008,N,44
104,54,OH,500/1000,500,1495.1,MALE,College,other-service,basketball,wife,50500,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,4154 Lincoln Hwy,15,3,NO,0,0,Unknown,15580,7790,70110,Chevrolet,2014,N,60
